
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Registry                       124 Services                   0     57,892 K
smss.exe                       504 Services                   0      1,136 K
csrss.exe                      756 Services                   0      5,940 K
wininit.exe                    840 Services                   0      6,460 K
services.exe                   916 Services                   0     15,636 K
lsass.exe                      924 Services                   0     26,212 K
svchost.exe                    572 Services                   0     37,244 K
fontdrvhost.exe                556 Services                   0      3,004 K
WUDFHost.exe                  1100 Services                   0     11,564 K
svchost.exe                   1172 Services                   0     21,304 K
svchost.exe                   1228 Services                   0      9,060 K
WUDFHost.exe                  1252 Services                   0     13,256 K
svchost.exe                   1456 Services                   0     13,704 K
svchost.exe                   1472 Services                   0     12,584 K
svchost.exe                   1488 Services                   0      9,552 K
svchost.exe                   1512 Services                   0     12,724 K
svchost.exe                   1520 Services                   0     13,976 K
svchost.exe                   1536 Services                   0      6,424 K
svchost.exe                   1596 Services                   0     11,628 K
svchost.exe                   1608 Services                   0     12,532 K
svchost.exe                   1668 Services                   0     11,320 K
svchost.exe                   1716 Services                   0     11,728 K
svchost.exe                   1816 Services                   0     14,384 K
svchost.exe                   1884 Services                   0      7,264 K
IntelCpHDCPSvc.exe            1920 Services                   0      7,180 K
svchost.exe                   1940 Services                   0     10,160 K
svchost.exe                   1972 Services                   0      7,408 K
svchost.exe                   2000 Services                   0      8,788 K
svchost.exe                   2032 Services                   0      9,380 K
svchost.exe                   2148 Services                   0     17,752 K
svchost.exe                   2192 Services                   0     12,928 K
IntelCpHeciSvc.exe            2212 Services                   0      7,088 K
svchost.exe                   2276 Services                   0      8,912 K
svchost.exe                   2388 Services                   0      8,540 K
svchost.exe                   2404 Services                   0     10,052 K
svchost.exe                   2604 Services                   0     24,120 K
svchost.exe                   2740 Services                   0      9,212 K
svchost.exe                   2748 Services                   0      8,352 K
svchost.exe                   2780 Services                   0      6,576 K
svchost.exe                   2788 Services                   0     15,040 K
Memory Compression            2932 Services                   0     24,232 K
svchost.exe                   3000 Services                   0     12,024 K
svchost.exe                   3024 Services                   0     10,232 K
svchost.exe                   2572 Services                   0      9,600 K
svchost.exe                   3096 Services                   0      9,164 K
svchost.exe                   3184 Services                   0      9,524 K
igfxCUIService.exe            3220 Services                   0      8,928 K
svchost.exe                   3272 Services                   0      9,948 K
svchost.exe                   3408 Services                   0      9,164 K
svchost.exe                   3532 Services                   0      9,960 K
svchost.exe                   3560 Services                   0     10,044 K
svchost.exe                   3672 Services                   0     16,820 K
svchost.exe                   3812 Services                   0     11,512 K
svchost.exe                   3832 Services                   0     15,740 K
svchost.exe                   3932 Services                   0     12,332 K
svchost.exe                   4012 Services                   0     16,060 K
svchost.exe                   4020 Services                   0      9,020 K
spoolsv.exe                   4108 Services                   0     12,792 K
svchost.exe                   4212 Services                   0     20,224 K
svchost.exe                   4240 Services                   0      8,452 K
esif_uf.exe                   4504 Services                   0      5,372 K
svchost.exe                   4512 Services                   0     44,596 K
svchost.exe                   4520 Services                   0     16,932 K
FSAgentService.exe            4528 Services                   0     20,408 K
SurfaceColorService.exe       4556 Services                   0      6,828 K
RtkAudUService64.exe          4564 Services                   0      9,908 K
svchost.exe                   4572 Services                   0      6,592 K
svchost.exe                   4584 Services                   0     18,496 K
svchost.exe                   4592 Services                   0     17,008 K
SurfaceService.exe            4600 Services                   0     13,152 K
WMIRegistrationService.ex     4612 Services                   0     11,428 K
svchost.exe                   4644 Services                   0     34,980 K
svchost.exe                   4652 Services                   0      9,840 K
svchost.exe                   4660 Services                   0      9,988 K
svchost.exe                   4668 Services                   0      6,544 K
mysqld.exe                    4676 Services                   0      6,152 K
SurfaceBroker.exe             4708 Services                   0     11,184 K
svchost.exe                   5048 Services                   0      8,932 K
cyserver.exe                  5064 Services                   0   5,75,388 K
mysqld.exe                    5072 Services                   0     20,824 K
conhost.exe                   4580 Services                   0      6,432 K
svchost.exe                   5140 Services                   0     11,988 K
svchost.exe                   5340 Services                   0      3,628 K
svchost.exe                   5680 Services                   0     13,616 K
svchost.exe                   5704 Services                   0      8,152 K
